job,path,label,mode,target_fps,frames,duration_s,achieved_fps,io_mib_per_sec,p95_ms,gpu_backend
604244,results/chain/604244/bench_full/full_unpaced.json,chain-full-unpaced-604244,full,0.0,800,1.667552,479.745,119.936,2.628,
604244,results/chain/604244/bench_gpu/gpu_matmul.json,chain-gpu-matmul-604244,metadata,30.0,200,6.666719,30.0,7.5,33.334,
604244,results/chain/604244/bench_paced/full_60fps.json,chain-full-60fps-604244,full,60.0,800,13.333387,60.0,15.0,16.667,
604244,results/chain/604244/smoke/metrics.json,chain-smoke-604244,metadata,0.0,200,0.000393,508834.753,127208.688,0.002,
604249,results/chain/604249/bench_full/full_unpaced.json,chain-full-unpaced-604249,full,0.0,800,1.552428,515.322,128.83,2.278,
604249,results/chain/604249/bench_gpu/gpu_matmul.json,chain-gpu-matmul-604249,metadata,30.0,200,6.666719,30.0,7.5,33.336,
604249,results/chain/604249/bench_paced/full_60fps.json,chain-full-60fps-604249,full,60.0,800,13.333387,60.0,15.0,16.668,
604249,results/chain/604249/smoke/metrics.json,chain-smoke-604249,metadata,0.0,200,0.000358,558006.09,139501.523,0.002,
604250,results/chain/604250/bench_full/full_unpaced.json,chain-full-unpaced-604250,full,0.0,800,1.576771,507.366,126.841,2.304,
604250,results/chain/604250/bench_gpu/gpu_matmul.json,chain-gpu-matmul-604250,metadata,30.0,200,6.66672,30.0,7.5,33.336,
604250,results/chain/604250/bench_paced/full_60fps.json,chain-full-60fps-604250,full,60.0,800,13.333387,60.0,15.0,16.668,
604250,results/chain/604250/smoke/metrics.json,chain-smoke-604250,metadata,0.0,200,0.000366,546873.92,136718.48,0.002,
604271,results/chain/604271/bench_full/full_unpaced.json,chain-full-unpaced-604271,full,0.0,800,1.594669,501.671,125.418,2.408,
604271,results/chain/604271/bench_gpu/gpu_matmul.json,chain-gpu-matmul-604271,metadata,30.0,200,6.666719,30.0,7.5,33.336,
604271,results/chain/604271/bench_paced/full_60fps.json,chain-full-60fps-604271,full,60.0,800,13.333389,60.0,15.0,16.668,
604271,results/chain/604271/smoke/metrics.json,chain-smoke-604271,metadata,0.0,200,0.000402,498064.959,124516.24,0.002,
604463,results/chain/604463/bench_full/full_unpaced.json,chain-full-unpaced-604463,full,0.0,800,1.63,492.248,123.062,2.475,
604463,results/chain/604463/bench_gpu/gpu_matmul.json,chain-gpu-matmul-604463,metadata,30.0,200,6.67,30.0,7.5,33.335,
604463,results/chain/604463/bench_paced/full_60fps.json,chain-full-60fps-604463,full,60.0,800,13.3334,60.0,15.0,16.668,
604463,results/chain/604463/smoke/metrics.json,chain-smoke-604463,metadata,0.0,200,0.0004,480418.173,120104.543,0.002,
604473,results/chain/604473/bench_full/full_unpaced.json,chain-full-unpaced-604473,full,0.0,800,1.488,537.625,134.406,2.251,
604473,results/chain/604473/bench_gpu/gpu_matmul.json,chain-gpu-matmul-604473,metadata,30.0,200,6.667,30.0,7.5,33.336,
604473,results/chain/604473/bench_paced/full_60fps.json,chain-full-60fps-604473,full,60.0,800,13.3334,60.0,15.0,16.667,
604473,results/chain/604473/smoke/metrics.json,chain-smoke-604473,metadata,0.0,200,0.000394,508025.539,127006.385,0.002,
604469,results/chain/604469/bench_full/full_unpaced.json,chain-full-unpaced-604469,full,0.0,800,1.489,450.354,112.588,2.435,
604469,results/chain/604469/bench_gpu/gpu_matmul.json,chain-gpu-matmul-604469,metadata,30.0,200,6.667,30.0,7.5,33.334,
604469,results/chain/604469/bench_paced/full_60fps.json,chain-full-60fps-604469,full,60.0,800,13.3334,60.0,15.0,16.667,
604469,results/chain/604469/smoke/metrics.json,chain-smoke-604469,metadata,0.0,200,0.000394,509874.946,127468.736,0.002,
